sentence,nsubj,root,root_idx,nsubj_idx,best_layer,best_head,attention_value
Bunun da araştırılmasını istiyorum .,Bunun,istiyorum,4,0,5,6,0.9969209432601929
1996 için belirlenen hedef ise 60 trilyon lira .,hedef,lira,7,3,7,8,0.6522687673568726
""" Peki , biz sevgiline bir şey diyebilir miyiz anketmen ? """,biz,diyebilir,8,3,7,8,0.9163196682929993
"İster erkek ister kadın olsun , kimliğini belirtmekten çekinen bu kişiyi , arada sırada da olsa öylesine merak ediyordum ediyor dum ki ...",erkek,merak,19,1,1,6,0.07448083907365799
Yay burçlar kuşağının dokuzuncu burcudur burcu dur .,Yay,burcu,6,0,5,6,0.9897547364234924
"Ne belli saat ve günlerde ayin vardı var dı , ne de belli formüllerin uygulandığı dualar .",ayin,var,6,5,4,0,0.9998180270195007
Sabah kahvaltısında çorba içmeye alışmış kimseler bunu kabul etmeyeceklerdir .,kimseler,kabul,8,6,7,8,0.9830830097198486
İddianamede onlar da var .,onlar,var,4,2,7,8,0.8359017372131348
7 . Bir vajina çok fazla küçük olabilir mi ?,vajina,olabilir,7,3,8,3,0.9391109943389893
"Kişi başına düşen kitap sayılarımız ; Sıradanlığın ötesinde bir yan bulmalı okur , diyorsunuz sanırım .",okur,diyorsunuz,16,14,10,9,0.5128589868545532
"Her gidiş gelişte bir kelime , bir kelam kapsaydın kapsa ydın memleket maruf , sende arif olurdun olur dun .",memleket,olur,21,15,11,5,0.6162299513816833
"Nevşehir'i , Kaymaklı Yeraltı Şehrini ve Ortahisar'ı gezmede Nevşehir'den gelmiş olan Sami Bey rehberlik etti .",Sami,rehberlik,23,21,3,4,0.4512072205543518
"Karşıdan gelen yeşil paltolu , cebinde Hürriyet Gazetesi olan biri ona "" Aksaray'a buradan mı gideceğim "" diye soracaktı sor acaktı .",biri,sor,23,12,8,3,0.9184959530830383
Bu sana çok güzel gelir .,Bu,gelir,4,0,5,8,0.9961471557617188
"O düşüncede olanların gereğini , kendisinin yapacağını belirtiyor .",kendisinin,belirtiyor,8,6,6,9,0.6040141582489014
O birkaç dakikalık zaman dilimi içinde yüksek bir ağaçtan yere düştüğümü hissettim .,O,hissettim,12,0,5,6,0.9808376431465149
O da geç kalmakmış kalmak mış .,O,kalmak,3,0,5,6,0.9983729124069214
"- İyi geceler , dedi , iyi geceler .",geceler,dedi,4,2,7,4,0.7366432547569275
ABD'li bakan İslamabad'dan aldığı sözlerden tatmin oldu .,bakan,tatmin,12,3,8,3,0.2588742673397064
Öyle tuhaf bir şey ki kim başa geçerse kendi doğrularını uyguluyor .,kim,uyguluyor,11,5,8,3,0.8744791150093079
"Sitelerde yaşayan herkesin hemen hemen bir otomobili bulunurken , gecekondulardakilerde ise ""taksi"" olarak çalıştırılan arabalar var .",arabalar,var,23,22,4,0,0.9995245933532715
"Birden hayat çıplaklaşıp kayboldu , bu garip , etkileyici ve masalsı ışığın içinde .",hayat,kayboldu,5,1,8,1,0.42064523696899414
"Üstelik , daha önce çekilmiş bir filme ne kadar da benziyordu benziyor du .",filme,benziyor,12,6,7,4,0.6554794311523438
"ABD Başkanı George Bush , Hindistan Başbakanı Manmohan Singh'i , Teksas'taki Teksas'ta ki çiftlik evine davet etti .",George,davet,24,2,1,6,0.07988626509904861
"Beşte biten atölye mesaimizi biz , şaşı gözlü odalarımızda elektrik ışığı altında gece yarılarına kadar aynı hızla devam ettiriyor ve ekseriya sabahlara kadar dünyanın kâğıdını karalıyor , kilolarca beyaz boya , şişelerce mürekkep sarf ediyorduk ediyor duk .",biz,devam,22,6,8,10,0.2493998259305954
"ABD , Gürcistan'ın ardından Ermenistan ve Azerbaycan'la da askeri işbirliğini arttırmaya yönelik görüşmelerde bulunuyor .",ABD,bulunuyor,17,0,5,6,0.9896911978721619
Metroseksüel Türklere örnek olarak gösterilen Kenan Doğulu da giyim sektörüne girdi .,Kenan,girdi,14,9,4,5,0.4722917079925537
Ancak çok ciddi şekilde kurallar uygulandığı için kazak ve çorapları kabul etmediler .,kurallar,kabul,11,4,6,11,0.4876232445240021
"( beyin şimdilik dursun ) "" bir tek insana "" aittir .",beyin,aittir,10,1,9,2,0.34295129776000977
O bilinen eski Türk mahallelerinden birinde .,O,birinde,6,0,5,6,0.9974417686462402
"Samsung , üç yeni kompakt fotoğraf makinesini geçen hafta sergiledi",Samsung,sergiledi,9,0,5,8,0.9984391331672668
"Bunun , bundan öte bir yolu yoktur yok tur .",yolu,yok,6,5,4,0,0.9998725652694702
"21.92 metreyle bu yılın en iyi ikinci derecesini gerçekleştiren İngiliz atlet , bugünkü bugün kü seçmelerde 19.51 metreyle serisinde dokuzuncu , genel klasmanda 20.",atlet,dokuzuncu,26,13,10,0,0.9487868547439575
"Küçük beyaz bulut bisiklet oldu , uzun saçlı kocaman bir bebek oldu , kamyon oldu ama ne Hasan'ın ne de Esma'nın öne eğilmiş başlarını yukarıya kaldıramadı .",bulut,oldu,4,2,6,9,0.5895730257034302
Ben seğirtip arabaya ulaşana kadar kapıyı açıp girdiler .,Ben,girdiler,10,0,5,6,0.9992185831069946
- Ben Halil .,Ben,Halil,2,1,4,0,0.9999817609786987
"Turist sorunlarına , İnsan Hakları Komisyonu el koydu",Komisyonu,el,7,6,4,0,0.9999997615814209
"Kurban kesilir ... """,Kurban,kesilir,1,0,4,0,0.9999939203262329
"Aslında hiç birisi kehanet olmuyor , işaretleri görebiliyorsunuz .",birisi,olmuyor,5,2,10,6,0.9020536541938782
İşin doğru ya da uydurma olduğuna tabi ki mahkemeler karar verecekler .,mahkemeler,karar,9,8,4,0,0.9999383687973022
Bu güvenlik açısından gereklidir .,Bu,gereklidir,3,0,5,8,0.9970033764839172
Bunun sonucunda yüzlerce İngilizce site geldi .,site,geldi,5,4,4,0,0.9999991655349731
Babam kimi zamanlar Ankara'da Anadolu Kulübü'nde briç oynardı oynar dı .,Babam,oynar,12,0,5,6,0.999566376209259
"Bu adam , devrindeki devrinde ki ilahi kitapları tetkik etmiş , ilmi sahada otorite olmuş , ibadet ve taatıyla şöhret kazanmıştır .",adam,tetkik,9,1,7,8,0.9252098798751831
"Ancak bugünkü adıyla KADEK olan PKK , büyük ölçüde etkisiz hale getirildi .""",PKK,hale,11,6,7,8,0.6318835020065308
Öğürtü ile beraber kan gelirse gelir se bunun tahrişe bağlı olduğunu anlatıp sakinleştirmek gerekir .,bunun,gerekir,19,9,6,3,0.298328161239624
Uydurmasan Uydurma san ne olacak ?,ne,olacak,8,7,4,0,0.999920129776001
"sahibi Tevfik İhtiyar , "" Bu galeride , kişisel ve karma sergiler düzenlenirken düzenlenir ken , vakfı desteklemek ve aynı zamanda da çağdaş Türk resim ve heykeline hizmet etmek için Nâzım Hikmet Kültür ve Sanat Vakfı'nın Sıraselviler'deki Sıraselviler'de ki merkezinin bir bölümünü çağdaş bir galeri haline getirdik getir dik "" dedi .",Tevfik,dedi,72,2,8,5,0.38923510909080505
"Balık burcundan olanlar , kendilerine daha olumlu ve iyimser bir bakış açısı geliştirmek zorundadırlar zorunda dırlar .",olanlar,zorunda,14,3,11,7,0.5087877511978149
"Ben de diyorum ki , bu ilkel organizasyona rağmen benzer ameliyatlar yaptık , yüzlerce hasta kurtardık kurtar dık .",Ben,diyorum,2,0,5,8,0.9752787947654724
"Olaylara çeşitli yönlerden bakabilme kabiliyeti , danışmanlık gibi işlerde de uygundur uygun dur .",kabiliyeti,uygun,12,6,4,11,0.2201155722141266
""" Sizin Cumhur gitti ... """,Cumhur,gitti,3,2,4,0,0.9999366998672485
Bunlar başkent Addis Ababa'ya 59 km mesafede bir üs ile Somali sınırında çöldeki çölde ki gizli cezaevlerinde tutuluyor .,Bunlar,tutuluyor,24,0,5,6,0.9967431426048279
Ben de istedim pilav .,Ben,istedim,2,0,7,3,0.9701772928237915
"Tabii ben böyle nevrotik hadiselerimi yazdıkça , Perihan Hilmi Örnekal'layıp daha önce bilmediği için uygulayamadığı bu "" Maksimum Şişe Temizleme "" yöntemini hayatına sokacak olan nevrotik eğilimli okurlarıma da "" Sony "" , diyorum .",ben,diyorum,45,1,5,1,0.1494879275560379
"Ben de "" İntiharda kararlı mısın ? "" diye sordum .",Ben,sordum,11,0,5,6,0.9960195422172546
Bu tasavvuf ozanı Yunus Emre'nin sesiydi sesi ydi .,Bu,sesi,10,0,5,6,0.935742974281311
"Sanki onları , topluca okul getirmiş getir miş .",okul,getir,5,4,4,0,1.0
Hiçbir fark yok arada .,fark,yok,2,1,4,1,0.9859877228736877
"Bu mahalle arasında , bakkal dükkanından çok , eczane var .",eczane,var,10,9,4,0,0.999866247177124
Bu oyuncuda önemli bir sorun bulunmadığı ifade edildi .,sorun,ifade,7,5,6,9,0.40832653641700745
"Açık ihalelerde , "" yaklaşık maliyet "" in yüzde 80'i düzeyinde oluşan fiyatlar , pazarlık usulünde yüzde 98 , doğrudan teminde ise yüzde 89 düzeyinde oldu .",fiyatlar,oldu,30,15,5,7,0.307651162147522
"Garip tutkularınızdan biri , yanıbaşınızda yiyecek içecek bir şey bulundurmak .",biri,bulundurmak,13,4,7,2,0.8422941565513611
Adada elektrik yoktu yok tu .,elektrik,yok,3,2,4,0,0.9998953342437744
Kurumsal hedefler ile kurumun diğer alanlardaki alanlarda ki alt hedefleri nasıl entegre edilmelidir ?,hedefler,entegre,11,1,7,8,0.5083155035972595
"Tüm bunlar yetmezmiş yetmez miş gibi , elimi yıkamak için lavaboya giderken gider ken , arkamdan koşup karnıma olanca gücüyle yumruk attı .",bunlar,yumruk,27,1,7,8,0.08556489646434784
"Basçı Chris Minh Doky'nin albümü "" The Nomad Diaries "" , son kaydı oldu .",The,oldu,21,11,10,8,0.25842443108558655
Zaten onun da insan ilişkilerinde soğuk yapılı olması bunu destekler .,onun,destekler,9,1,8,11,0.1760948747396469
İşte ben acemilikten yedek subaylığa sadece bu tel örgüyü geçecek kadar yol katederek terfi ettim .,ben,terfi,20,1,7,8,0.9680274128913879
""" Araştırma ve incelemelerin sonuçlarını gösteren , bilim ve tekniğin ilerlemesini sağlıyan her türlü yayımları yapmak ; yardımcılara , doktora adaylarına ve öğrencilerine yaptırmak .""",bilim,yapmak,20,8,11,0,0.30790674686431885
Ben de en yakınımızdaki yakınımızda ki bir sivil savunma kuruluşunda gönüllü olarak çalışmak istiyorum .,Ben,istiyorum,15,0,5,6,0.9974998831748962
"Paris'teki Paris'te ki barış görüşmelerine katılan Yugoslav heyeti , önceki önceki ki gün anlaşmayı imzalamak için öne sürdüğü değişiklikler konusundaki konusunda ki kararlılığını devam ettiriyor .",heyeti,devam,29,11,7,8,0.47828754782676697
"Almanya ve Fransa arasındaki arasında ki işbirliğini daha da geliştireceklerinden söz ettiklerini ve kendisine görevinde başarılar dilediğini ifade eden Merkel , "" Sarkozy ile çok iyi bir işbirliği olacağına inanıyorum "" dedi .",Merkel,dedi,34,20,10,11,0.892338752746582
"Gecenin sonunda toplu olarak sahneye çıkan Aksu , Leman Sam , Yaşar , Timur Selçuk , Uğur Yücel , Mehmet Ali Erbil , Cem Yılmaz , Grup Bulutsuzluk Özlemi ve Nilüfer , hep birlikte "" İspanyol Meyhanesi "" adlı unutulmaz şarkıyı seslendirdi .",Aksu,seslendirdi,46,7,11,0,0.37343281507492065
"Onlar , güzel , değerli hediyelerden büyük bir zevk alırlar .",Onlar,zevk,9,0,5,6,0.9986287355422974
Hessen eyaletinde de hazırladığımız bu kitap verildi .,kitap,verildi,8,7,4,0,0.9998698234558105
""" Benim Sinemalarım "" , Avşar'ın doruk noktalarından biri olacaktı olacak tı .",Benim,olacak,12,1,6,6,0.5599237084388733
"İnanılmaz koruyucu , baskıcı , her şeyi ben bilirim havasında biriydi biri ydi .",ben,biri,11,8,2,7,0.3323698937892914
Başka hiçbir kelimeye gerek yok .,gerek,yok,5,4,4,0,0.9999868869781494
"Bana her seferinde "" Biliyor musun sen çok komik hapşırıyorsun ."" der .",sen,der,16,7,11,7,0.1320977807044983
Bir ara çok cılız bir ses geldi kulağına .,ses,geldi,8,7,4,0,0.9999967813491821
""" Bize böylesi memurlar gereklidir , "" der .",memurlar,der,7,3,10,11,0.6686764359474182
Her ses partisinin konuşmasıyla gökyüzünde yeni mesafeler kat ediyoruz .,partisinin,kat,8,2,6,4,0.26177382469177246
"Atatürk'ün doğum tarihi , ay ve gün olarak bilinmemektedir bilinmemekte dir .",tarihi,bilinmemekte,10,4,8,2,0.4141368269920349
Büyük bir yazar oldu .,yazar,oldu,3,2,4,0,0.9996881484985352
İçimde bir Mehmet Ali Erbil var .,Mehmet,var,6,3,5,11,0.716282069683075
PARANIN ARKASINDA NE VAR ?,NE,VAR,8,7,4,0,0.9994511008262634
Dost meclislerinde O da gelir oturur masanın başköşesine .,O,oturur,6,3,11,2,0.6469640135765076
Biz ülkemizde o güne kadar tartışılmayan en sivri konuları tartışmaya açmak istiyorduk istiyor duk .,Biz,istiyor,12,0,5,8,0.9862961769104004
"Menderes Tekstil Yönetim Kurulu Başkan Vekili Ahmet Göksan da , Mısır'da yatırım planladıklarını ifade etti .",Ahmet,ifade,18,7,11,6,0.10818975418806076
Aileye ben bakar oldum .,ben,bakar,3,2,4,0,0.9998844861984253
Ben ise ayakta dimdik ve istediğim duvar dibine .,Ben,ayakta,2,0,5,8,0.9991629123687744
"Bu durum mide bulantısı , kusma , çarpıntı , halsizlik , daha ağır vakalarda nefes darlığı ve kendinden geçmeye ( bilinç kaybına ) yol açar .",durum,yol,25,1,7,8,0.878695011138916
"Böylece her şey ( ilim de dahil her şey ) , dinle sınanacağına , din başka şeylerle sınanacak bir yere konulmuş olur .",din,olur,25,11,6,5,0.15903730690479279
maddeleri ile 1 Numaralı Protokol'ün 1 ve 3'üncü maddelerinin çiğnenmediğine karar vermiştir .,maddelerinin,karar,16,13,6,9,0.37090590596199036
"Nuri Bilge Ceylan'ın "" Uzak "" filmi , 3 - 19 Ekim tarihleri arasında Lincoln Center'da düzenlenecek New York Film Festivali'nde yer alacak .",filmi,yer,29,9,8,1,0.37086355686187744
Ben de oraya gittim .,Ben,gittim,3,0,5,8,0.9888468384742737
"Böylece neden yaşadığımızı , yarın ölsek gerçekten neyi yapmak isteyeceğimizi düşünürüz ki bu sağlık kadar gereklidir .",bu,gereklidir,19,16,7,9,0.5687755346298218
Coşkun Kırca'nın gerçekleri çarpıtan tanıklığına karşı savunma tanıklığı yapmak üzere Zorlu'nun avukatına başvurdumsa da Yüce Divan savunma tanıklarının dinlenmesine gerek görmediğini bir ara kararıyla bildirdi bildir di .,Divan,bildir,41,29,11,7,0.3392745554447174
Annem ise ev hanımı .,Annem,ev,2,0,5,6,0.9997057318687439
Ekonominin patronu koltuğuna oturdu otur du .,patronu,otur,4,2,11,7,0.5222111940383911
"Ardından "" Ali Yazar Veli Bozar "" ve "" Şehrazat "" geldi ...",Ali,geldi,14,2,10,10,0.23212802410125732
Fakat buna rağmen o gün boyunca telefon Ali Beydeydi Beyde ydi .,telefon,Ali,7,6,4,0,0.9999967813491821
Sessiz yanaşma işlerini çok iyi becerdiğim için adam beni biraz geç fark etmişti etmiş ti .,adam,fark,14,10,7,5,0.5338618755340576
Cennet ve cehennem nedir ?,Cennet,nedir,3,0,5,6,0.9988935589790344
"Kahverengi - kırmızı , kırmızı renkli olan 20 - 30 cm'lik cm 'lik iskorpit ve 35 - 60 cm'lik cm 'lik lipsoz'un ucunda 3 tane zehirli diken , sırt yüzgeçlerinin en sonunda büyük zehirli diken , kafasının üstünde birkaç zehirli diken bulunur .",diken,bulunur,57,39,8,2,0.16441358625888824
"Bilirsiniz , her yalan sonunda Pinokyo'nun burnu uzardı uzar dı .",burnu,uzar,15,12,8,4,0.36417287588119507
Herkes helalleşmeye geliyordu geliyor du .,Herkes,geliyor,3,0,5,8,0.995415210723877
Aramıza kara dikenler gibi girenler kimlerdir kim lerdir ve bizler biz ler niçin onların kararmış karar mış yüzlerine tüküremiyoruz ? ..,girenler,kim,8,7,4,0,0.990649402141571
""" Sen ne arıyorsun burada abi ? "" dedi .",Sen,dedi,9,1,11,1,0.4478603005409241
Fakat biz burada önemli önem li sayılabilecek bazı sorunlara değinmiş olduk .,biz,olduk,11,1,7,8,0.8616172075271606
Bu yüzden telefonlar icat edildi .,telefonlar,icat,3,2,4,0,0.9999756813049316
Ben de bu erdemin yüksek bir derecesine sahibim .,Ben,sahibim,9,0,5,6,0.9924773573875427
Manor dışında dikkate alınacak ölçüde bir tarımsal faaliyet yoktur yok tur .,faaliyet,yok,9,8,4,0,0.9999997615814209
"Bu paragraf , ne yazık ki Türkiye’nin mizah babasına ait .",paragraf,ait,11,1,8,1,0.7837902903556824
"Ama doktorlar ' Yine de alalım , iyi olur ' diyorlar ...",doktorlar,diyorlar,10,1,8,3,0.8935350775718689
"Bir gün çocuklara konacak güzel isimlerden bahseden hadisi okuyorduk okuyor duk , Adeti olduğu üzere elini kaldırdı kaldır dı : Dur evlad dur ! diyerek bir nükte anlatacağını ifade etti .",Dur,ifade,35,24,4,6,0.16716156899929047
KENDİNİ İKİ BOK SANMAK Bunun da tek bir yolu vardır var dır .,yolu,var,14,13,4,0,0.999816358089447
Ben olabilirim .,Ben,olabilirim,1,0,4,0,0.9999899864196777
Ben Everton diyorum ama sadece bir fikir vermek için .,Ben,diyorum,3,0,5,6,0.9850655198097229
"Bu olmaz , "" dedim .",Bu,dedim,4,0,5,6,0.9885590076446533
"Ben , İngilizce'yi çok seviyorum .",Ben,seviyorum,6,0,5,6,0.9953097701072693
Bir de özel medrese kurulmasına izin verildi .,medrese,izin,5,3,1,9,0.6242259740829468
"Bir tutam kırmızı karanfil , bir demet menekşe olsun istiyorum Bosna'da , Tunceli'de , tüm evrende ...",karanfil,istiyorum,10,3,10,0,0.38676732778549194
"Seks , skandal , isyan , rock'n roll , PJ'in 1.55'lik 1.55 'lik , ama sahnede , sanki 5 - 10 metreyi bulan gövdesinde üç boyutlu hale geliyor !",Seks,geliyor,42,0,5,6,0.9997199177742004
"Önce han , bunu kıskaçla tutup örse koyar , çekiçle döver .",han,koyar,10,1,8,3,0.5309670567512512
Ahmet her gittikleri yerde selam verecek ve birkaç da soru soracaktı sor acaktı .,Ahmet,selam,4,0,5,6,0.9999456405639648
"Bu metin bir muhtıra olabilirdi olabilir di ama muhtıra olması , karşı tarafın yani sivil kesimin kabulüne bağlıydı bağlı ydı .",metin,olabilir,6,1,8,3,0.6815382242202759
"Misafir geldiğinde salondan kahkaha sesleri duydukça , isyan ederdim eder dim .",Misafir,isyan,9,0,5,6,0.9981194138526917
Kitaplarını okuyanlar yarının dünyasını görür gibi oluyorlardı oluyorlar dı .,okuyanlar,oluyorlar,9,2,6,5,0.32711783051490784
"Kimseye tabak , çatal , bıçak verilmiyor .",tabak,verilmiyor,8,3,10,10,0.5180585980415344
"Bu , bizce çok olumlu ... """,Bu,olumlu,5,0,5,6,0.9986640214920044
"4616 Sayılı Şartla Salıverilmeye , Dava ve Cezaların Ertelenmesine Dair Yasa ile tahliye edilmesiyle "" mağdur "" olduklarını belirten bir grubu makamında kabul etti .",Dava,kabul,29,9,6,0,0.19223423302173615
Annem de onun öbür koluna girdi .,Annem,koluna,4,0,5,6,0.9967175126075745
"PKK'ya , "" Bakın bu adam bu adreste oturuyor "" der gibi hareket edemezsin !",adam,hareket,14,7,8,3,0.5997903347015381
Beyaz bayrak bir sonrası için bir umut ama ya tetiğe dokunursan dokunur san ...,bayrak,umut,6,1,11,2,0.37418332695961
"Aday , locada bir kez dolaştırıldıktan sonra ant kürsüsünün önüne getirilir .",Aday,getirilir,15,0,5,6,0.9913911819458008
Onları asacak yer bile yoktu yok tu .,yer,yok,6,4,4,1,0.6952213048934937
"Herhangi bir sorunumuz yok "" dedi .",sorunumuz,dedi,5,2,9,2,0.6441411972045898
Elbette öyle bir hayatın böyle bir neticesi olacak .,neticesi,olacak,7,6,4,0,0.9998639822006226
Üniversite için yaptığımız en önemli transfer bence Şükrü Bayındır oldu .,transfer,oldu,9,5,8,1,0.6259583830833435
""" Hiçbir barbar , insanlığa Batı medeniyeti kadar zarar vermemiştir "" dediniz .",barbar,dediniz,12,2,11,11,0.5103586316108704
"Yine Murat Astsubay "" incecik bir dala miğfer takmışsın gibi duruyor uzaktan , üzülüyorum Baba'nın durumuna "" diyordu .",Murat,diyordu,24,1,11,7,0.8127266764640808
"Daha sonra ; buna güreş , uzun atlama , maraton gibi sporlar da eklendi .",sporlar,eklendi,13,11,3,8,0.7400214672088623
O yüzden para kazanmaya başlayınca pazar yerinden alış veriş etmeye son vermek gibi zımni bir hedef vardır var dır pek çoğumuzun kafasında .,hedef,var,17,16,4,0,0.999308705329895
Oluşturulan metnin izleyiciler tarafından anlamlandırılması ise zamanla oluyor .,metnin,oluyor,10,3,10,2,0.535444438457489
Yanımda Opel marka kırmızı bir araba durdu .,araba,durdu,7,6,4,0,0.9941412806510925
"Bir an önce bunun aşılması lazım "" dedi .",bunun,dedi,7,3,5,2,0.26222261786460876
"Avrupa Birliği üyeliğine destek de en fazla CHP'den , en az MHP seçmeninden geliyor .",destek,geliyor,16,3,8,0,0.41098684072494507
""" Eğilin "" diyenlere , "" esas siz eğilin "" diye cevap vermeli .",siz,cevap,13,8,7,4,0.1955333650112152
"Çünkü , Silahlı Kuvvetler , adı üstünde ellerindeki ellerinde ki silahtan ötürü - o silahı hiç kullanmasalar bile - siyasete şiddet unsuru sokmuş oluyor .",Kuvvetler,oluyor,27,3,10,11,0.22516991198062897
Bunlar birçok can ve mal kaybına neden olmaktadır .,Bunlar,neden,6,0,5,6,0.9961898326873779
Bundan başka zorunlu olarak yapılan birtakım istemli ve istemsiz hareketler vardır var dır .,hareketler,var,12,11,4,0,0.9999902248382568
Konuk ekip gelmedi,ekip,gelmedi,3,2,4,0,0.9999641180038452
Sıkı politika devam edecek,politika,devam,3,2,4,1,0.9942601919174194
"O , bir zamanlar Hortu Köyü'nü birbirine katan afacan çocuklardan biridir biri dir .",O,biri,10,0,5,6,0.9942409992218018
"İçinde milyonlarca ev , milyonlarca sokak , binlerce şehir varmış var mış .",ev,var,9,2,8,2,0.3926892876625061
"İletişim stratejisi , etkinlik stratejisini destekleyerek ,",stratejisi,destekleyerek,6,1,9,9,0.5171576738357544
Ben de senden bunu beklerdim bekler dim işte .,Ben,bekler,4,0,5,8,0.9986832737922668
""" Ah Meral , ben senin gelin arabanı kullanacaktım kullanacak tım .",ben,kullanacak,9,4,7,8,0.9414757490158081
Saddam'ın dış siyaset hedefleri konusunda ayrıntılı bilgi sahibi olan diplomatların taleplerinin kabul edilmesinin Batı'ya büyük istihbarat akışı sağlayabileceği belirtiliyor .,taleplerinin,belirtiliyor,25,14,5,5,0.16255247592926025
"Artık , matbaacı Manol , kırık dökük "" takası "" yla dolmuşçuluk yapan Karınca ezmez Şevki gibi amigo tipleri yok .",tipleri,yok,29,28,4,1,0.9956641793251038
"Bakın , biz Nevruz'u kutluyoruz işte .",biz,kutluyoruz,6,2,7,8,0.8454727530479431
"- Kol altı temizliğine dikkat edilmezse edilmez se , insan çok kötü ter kokuyor , dedim .",insan,dedim,17,11,11,10,0.538658618927002
"Her millet var . """,millet,var,2,1,4,0,0.9999984502792358
"Sabah idmanında futbolcuların adeta pestillerini çıkartan Mustafa hoca , "" Bu dönemde fedakârlık yapmayan sonra sevinemez "" dedi .",Mustafa,dedi,23,10,11,7,0.5841545462608337
"Mutlaka bir yerde bir pürüz çıkaran , araya çomak sokan birileri oluyordu oluyor du .",birileri,oluyor,13,12,4,0,0.999956488609314
"Hoş , Banu pek takıp takıştırmayı sevmezdi sevmez di .",Banu,sevmez,8,2,8,5,0.8862862586975098
Böylece vücudumuza daha çok temiz hava girer .,hava,girer,7,6,4,0,0.9999890327453613
Ama sonuçta biz genelgelere saygı duymak zorundayız zorunda yız .,biz,zorunda,8,2,3,0,0.4918411672115326
Çok eskiden Erol Taş vardı var dı .,Erol,var,4,2,11,2,0.7097111940383911
Bu da yönetimi ve yaşayışı bazen zorluyor .,Bu,zorluyor,7,0,5,6,0.9992548823356628
1509'daki 1509'da ki depremde yıkılan kulenin yerine yapılan ve fener olarak kullanılan ahşap kule 1721 'de çıkan yangından büyük zarar gördü .,kule,zarar,29,20,7,8,0.5933113098144531
"Kararı disiplin kurulu verecektir "" dedi .",kurulu,dedi,6,3,10,9,0.8030974268913269
"Bir zaman için doğru ve yeterli olan kurallar , belirli bir zaman sonra işlevini kaybetmiş olabilir , hatta gereksiz bile olabilir .",kurallar,olabilir,15,7,8,3,0.38870343565940857
- Bu demek ...,Bu,demek,2,1,4,0,0.9993293285369873
Para insanlara ulaşmak istediği herşeye her şeye ulaşma imkanı sağlarken sağlar ken ; aynı zamanda insanların duygu ve düşüncelerinde de değişimlere neden olmaktadır .,Para,neden,22,0,5,6,0.9255145788192749
Sen olmazsan olmaz san başkasını bulurlar röportaj yapacak .,Sen,bulurlar,6,0,5,6,0.9723190665245056
- Ana dolu ...,Ana,dolu,2,1,4,0,0.9999861717224121
Bilir misiniz bilmem ilaç dumanının rengi beyaz olurdu olur du .,bilmem,olur,9,3,3,9,0.7132430076599121
"Kimse ne zom oldu , ne küfelik oldu ...",Kimse,oldu,4,0,5,0,0.9831575751304626
Artık Ayla'nın bulut oyunu sona ermişti ermiş ti .,oyunu,sona,6,5,4,0,0.999996542930603
"Kendi hayatına Allah Resulü'nün sünnetini geçirmiş geçir miş olan kimse , zamanda O'nun ahlâkı ile de ahlâklanmış olur .",kimse,olur,25,13,7,8,0.8677476048469543
Doğrusunu yalnız Allah bilir .,Allah,bilir,4,3,4,0,0.9999997615814209
YSK Gül'ün istifasını kabul etti,YSK,kabul,6,0,5,6,0.9791669845581055
Biz güzel Ayvalık'ın mutlu kapısını şöyle bir aralayalım dedik .,Biz,dedik,12,0,5,6,0.9781730771064758
"Çok çirkin olsam bile benim bu çirkinliklerime katlansanız ne olur ? Söz veriyorum , bundan sonra hiç ağzımı açmam .",ne,olur,12,11,4,0,0.999943733215332
"Rıhtım , iskele gibi yerler kötü deniz ve hava koşullarına karşı korunaklı iseler de her zaman emniyetli değillerdir değiller dir .",yerler,emniyetli,20,6,8,3,0.5227581262588501
Telefon bozuk herhalde .,Telefon,bozuk,1,0,4,0,1.0
Uzun Mehmet iki üç günde bir eve birçok kara taşla geliyordu geliyor du .,Uzun,geliyor,11,0,5,6,0.9962978959083557
"Çaldıran seferinden sonra ordu , Tebriz'e girdi .",ordu,girdi,12,6,8,1,0.5858752727508545
"Bize dost görünen düşmanlarımız tarafından verilen en büyük zarar budur bu dur : "" Zaman kaybetmek ... """,zarar,bu,10,9,4,0,0.9934626817703247
Peki ne oldu derseniz ? Bulgaristan'a girdim .,ne,oldu,2,1,4,0,0.9996609687805176
"Deniz , savunmasını yapması için kendisine gönderilen çağrılara cevap vermez .",Deniz,cevap,9,0,5,6,0.9982432126998901
"Cansız etkenler insan vücuduna solunum , sindirim yollarından , deriden ve diğer parenteral yollardan girer veya tesir eder .",etkenler,girer,18,2,7,10,0.7776432037353516
Insignia için özel olarak geliştirilen üç yeni direkt enjeksiyonlu turbo dizel motorlar 2 .0 litre hacmine sahip .,motorlar,sahip,20,14,7,8,0.9840120077133179
"Kimi zaman Ali İhsan daireden dönüp , ağacın tepesine oturduğunda , karısı da şöyle bir uğrayıp halini - hatırını soruyor :",Ali,soruyor,23,2,8,5,0.6002820730209351
"Laikliğin dinsizlik olmadığı maddesi var . "" Altı - yedi tane olmuştu olmuş tu .",maddesi,var,7,6,4,0,0.999983549118042
"28 Şubat akşamı Sultanahmet'teki Sultanahmet'te ki Four Seasons Oteli'ne giderken gider ken Ülker'in Mozart Günleri'ne bu yıl kimlerin , hangi ünlü sanatçıların , orkestraların geleceğini merak ediyordum ediyor dum .",kimlerin,merak,41,31,3,7,0.23503811657428741
