sentence,nsubj,root,nsubj_idx,root_idx,best_layer,best_head,attention_value
Düelloyu T - Mac kazandı,T,kazandı,4,7,0,4,0.12425801157951355
"Ahmed Rasim , Büyükada'ya gidip birkaç gün kalmayı tasarlamıştı tasarlamış tı .",Ahmed,tasarlamış,1,11,0,11,0.2092692255973816
Rüzgâr yine güçlü esiyordu esiyor du .,Rüzgâr,esiyor,1,4,1,6,0.8384491801261902
"Öte yandan Sarı - Lacivertliler , yarın Samandıra Tesisleri'nde Türk Telekom Lig A takımlarından Kocaelispor'la saat 19.30'da bir hazırlık maçı yapacak .",Sarı,yapacak,3,29,0,3,0.0509316548705101
Peki kim bu küçük ve basit sebepleri devleştirerek aramıza sokup duruyor ?,kim,sokup,2,11,7,3,0.7201255559921265
"Bu korkular , hayatımızın çeşitli dönemlerinde değişiklikler gösterebilir .",korkular,gösterebilir,2,8,5,4,0.36809656023979187
Tapınakta panik var,panik,var,3,4,3,0,0.9999791383743286
İkisi de Türkiye'nin sevdalısı .,İkisi,sevdalısı,1,6,5,11,0.5759555101394653
""" Bunu da mı o yapmış ? """,o,yapmış,5,6,4,9,0.9999865293502808
Yarım greyfurt günlük C vitamini ihtiyacının yüzde altmışını sağlar .,greyfurt,sağlar,2,10,5,11,0.6313526034355164
"Bu yaş diliminin en az çalışanları ise Slovakya , Belçika ve Fransa'da .",çalışanları,Slovakya,6,8,6,10,0.3450394570827484
"Moby Dick'e aldığım sarı boya inceltmek için ne gaz , ne benzin , hiçbir şey kabul etmiyordu etmiyor du .",boya,kabul,8,20,10,8,0.3360884189605713
"O , öncelikle çok büyük bir asker ve komutandır .",O,asker,1,7,7,3,0.25904616713523865
Köylülerin çoğu evlere girmemişti girmemiş ti ; çünkü söylediklerine göre ısınamıyorlardı ısınamıyorlar dı .,çoğu,girmemiş,2,4,4,0,0.5536603331565857
"Sesleri duyan , şirkete yeni girmiş kaptan , şaşkın ve ürkek bir ifadeyle boxerını çekiştirerek tuvaletten fırladı .",kaptan,fırladı,7,19,7,3,0.21427352726459503
"Sarı , beyaz , pembe renkli cinsleri içinde en çok beyazı sevilir .",beyazı,sevilir,11,12,3,0,0.9996980428695679
"Ne kadar düşünürsem düşünür sem düşüneyim , televizyonda izlediklerimden başka bir fikir gelmiyor aklıma .",fikir,gelmiyor,15,16,3,0,0.999535322189331
Bence anne babalar da tam olarak bilmiyordu bilmiyor du niye olduğunu .,anne,olduğunu,2,11,0,0,0.13495226204395294
Ancak saldırıyı henüz üstlenen olmadı .,üstlenen,olmadı,4,5,4,9,0.9979053735733032
Sular yaşıyor yanımda,Sular,yaşıyor,1,2,4,9,0.9995146989822388
"Hiç ağrı , çürük yok ,",ağrı,yok,2,5,0,4,0.49467170238494873
"Salt yargı önüne çıkarılmasın diye partisini bağlayıp , paketleyip Refah Partisi'ne rehin bırakan Bayan Çiller ödülünü alıyor .",Çiller,alıyor,19,21,5,8,0.2748328745365143
Onu tutacak kimse yok ki !,kimse,yok,3,4,4,9,0.9997887015342712
Japonya'nın dağarcığında iki de kış olimpiyatı ev sahipliği vardı var dı .,sahipliği,var,12,14,2,2,0.5705617666244507
Bu korku fırsatçılığı sayesinde dünyanın en zengin enerji bölgeleri işgal edilmedi mi ?,bölgeleri,işgal,10,11,4,9,0.9999836683273315
Sağ olanlar hele gençler hastanın halinden anlamıyordu anlamıyor du .,Sağ,anlamıyor,1,7,6,2,0.2343796044588089
"Ve işte o , beni kahreden , somurtganlaştıran , saatlerce ağlatan , gözyaşlarıyla dolu ...",o,dolu,3,17,7,3,0.46985673904418945
"Bunun için , "" Vajina Bölgesi "" tabiri daha doğru olur .",tabiri,doğru,8,10,7,8,0.6860651969909668
"Bal , ana maddesini teşkil eden meyve şekeri sayesinde şeker kamışından hemen hemen iki misli daha tatlıdır .",Bal,tatlıdır,1,18,5,1,0.5821546316146851
Aynı roman Tunç Okan tarafından sinemaya uyarlandı ( 1993 ) .,roman,uyarlandı,2,7,7,8,0.5736879706382751
"Gündüz Sevilgen adlı , MSP'li mühendis , CHP'ye yönelttiği suçlamalarda , partisi için ün yapmaya başlamıştı başlamış tı bile .",mühendis,başlamış,9,22,7,3,0.22870106995105743
"Kriz merkezine gelen bir ihbar üzerine , deponun sorumluluğu Kocaeli Üniversitesi Tıp Fakültesi personeline devredildi .",sorumluluğu,devredildi,9,15,4,0,0.8901341557502747
"Tilki , sanki bir an Ceren'e gülümsedi .",Tilki,gülümsedi,1,9,4,3,0.35123172402381897
"Yayıncılar , editörler , şaşılacak şey , röntgen gibi biliyorlar birbirlerini ...",Yayıncılar,biliyorlar,1,10,3,9,0.48056289553642273
Ben değişik birini arıyordum arıyor dum .,Ben,arıyor,1,5,3,9,0.17528019845485687
"Her ülkede hem çalışıp , hem de okuyanlar vardır var dır .",okuyanlar,var,8,10,3,6,0.7513555288314819
Geçen yıl Leeds United'la oynanan maçlarda yaşanan olaylar nedeniyle güvenlik konusundaki konusunda ki hassasiyetini dile getiren Sarı - Kırmızılılar'ı özel bir şirketin koruması bekleniyor .,şirketin,bekleniyor,26,28,7,6,0.4034806191921234
İşte ben buna iletişim diyorum .,ben,diyorum,2,5,2,9,0.8412562608718872
"Bağlar , ağaç kümeleri geçerler ara ara .",Bağlar,geçerler,1,5,3,9,0.4680834710597992
22 . Günümüz Sanatçıları İstanbul Sergisi açılıyor,Sergisi,açılıyor,6,7,3,0,0.9993168115615845
"Doktorun adı , "" Sinan Şakrak "" idi .",adı,Sinan,2,5,7,3,0.4643593430519104
Çünkü dul bir kadının topluma karşı sorumlulukları daha fazla oluyor .,sorumlulukları,oluyor,7,10,4,0,0.7258368730545044
Kalan insanların çoğu yurtdışına gittiler .,çoğu,gittiler,3,5,4,0,0.8234879374504089
YP'nin Muş Milletvekili Muzaffer Demir'i transferinin ardından Millet Partisi de Hazine yardımı alabilmek için DYP'den istifa eden Afyon Milletvekili Baki Durmaz'ı transfer etti .,Partisi,transfer,13,30,7,3,0.4308951497077942
"Sonuçta Endülüs İbn-i Bacce , İbn-i Arabi , İbn-i Zahar , İbn-i Rüşd , İbn-i Hazm gibi dahiler yetiştirdi .",Endülüs,yetiştirdi,2,32,7,3,0.6346908211708069
"Onun dışında istifa aklımın ucundan bile geçmez "" dediği vurgulandı .",istifa,vurgulandı,3,10,8,4,0.24934905767440796
Pastör bu aşıyı kuduzlu tavşan omuriliklerinden elde etmiş ve 1884 yılında ilk olarak köpekler üzerinde deneyerek basan elde etmişti etmiş ti .,Pastör,elde,1,10,7,3,0.33580902218818665
Güney Koreli aileler kuzeyde üç gün kalacaklar .,aileler,kalacaklar,3,7,3,9,0.5221419334411621
Kırmızı her şeyden önce,Kırmızı,önce,1,4,5,11,0.5794009566307068
"Gazetenin sahibi Mehmet Ali Yılmaz'a , "" Davos'a beraber gidelim , "" dedim .",Mehmet,dedim,3,17,0,0,0.07308892905712128
Budapeşte Tren istasyonu yorgun .,istasyonu,yorgun,3,4,4,9,0.9997684359550476
Parkın az ilerisi deniz kıyısıydı kıyısı ydı ...,ilerisi,kıyısı,3,5,7,3,0.5654348134994507
"İmgesel çağrışımlara açık ( balık , kuş , yaprak , doğa kesiti ... ) modüler birimler , renk skalası ve oran farklılığıyla akıcı hale dönüşüp izleyiciye hareketin yönünü ve duruş noktasını öneren eklemli parçalar , çevresindeki çevresinde ki boşluğu eşit aralıklarla tarayarak kendisine mekân içerisinde kalıcı bir yer arayan yuvarlatılmış formlar , onun biçim dilinin teknik ve estetik imkânlarını oluşturuyor .",birimler,oluşturuyor,20,67,9,6,0.061199333518743515
Tarihin Doktor Tarafından İleri Alınması,Tarihin,İleri,1,4,9,2,0.8396040797233582
"Sokaklarsa Sokaklar sa , su katılmamış bir Anadolu kasabası ...",Sokaklar,kasabası,1,10,1,8,0.1974799633026123
Cumhurbaşkanlığı seçimine ilişkin ikinci tur oylama bugün yapılacak .,oylama,yapılacak,6,8,8,11,0.7359947562217712
Sel sularında neler yoktu yok tu ki ...,neler,yok,3,5,2,9,0.5757660269737244
"Temizlik , toplum içinde başkalarıyla daha huzurlu ve güven içerisinde yaşamamızı sağlar .",Temizlik,sağlar,1,13,5,11,0.5077457427978516
"Yan odadaki odada ki biz gazeteciler , baş konuktan ya iki ya da en fazla üç dakika sonra başladık yemeğimize .",biz,başladık,5,20,2,11,0.3431076407432556
Zamanı gelince yünleri kazana doldurur .,Zamanı,doldurur,1,6,5,6,0.6303809285163879
İş tehlikeli bir boyut kazanıyordu kazanıyor du .,İş,kazanıyor,1,6,3,9,0.23347660899162292
"Aziz , deli gibi çalışkan , güçlü kuvvetli , pes etmeyen cinsten .",Aziz,cinsten,1,12,7,3,0.3667586147785187
Doktor yoklayıp baktı :,Doktor,baktı,1,4,4,0,0.6718969345092773
"Akşam Jan Bey uğradığında bana , "" Doktorla bayağı İngilizce konuştun "" dedi .",Jan,dedi,2,15,3,11,0.10036531835794449
"Ben Zeki değil , Ekrem'im Ekrem 'im . """,Ben,Zeki,1,2,4,9,0.9998828172683716
Toprağın akması saatlerce sürdü .,Toprağın,sürdü,1,4,0,1,0.3317859470844269
"Cumhuriyet yerine oturur oturmaz , yurdun yetenekli çocuklarını Avrupa'ya sanat eğitimine göndermiştir .",Cumhuriyet,göndermiştir,1,15,8,7,0.5556780695915222
İleri geri ritmi hareketler yapıyor .,hareketler,yapıyor,4,5,4,9,0.998416543006897
Benimkinin Benim kinin camı kırıldı .,camı,kırıldı,6,7,3,0,0.9987000226974487
On gündür ev sahibi arıyor .,sahibi,arıyor,4,5,4,9,0.99982088804245
"Ayrıca , çalışmaları desteklemek isteyenlerin katkılarını değerlendirmek üzere "" Troya'yı Sevenler Derneği "" gibi bir gönüllüler kuruluşu oluşturuldu .",kuruluşu,oluşturuldu,19,20,4,9,0.9994097948074341
"Rusya , Azerbaycan , Kazakistan , Bulgaristan , Makedonya ve Kırgızistan'da 6 ülkede faaliyet gösteren Ramstore zincirinin 77 .",zincirinin,77,20,21,4,9,0.9999744892120361
"Nüfus cüzdanı , pasaport , ehliyet gibi değerli kağıtlar için vatandaşın cebinden çıkan parada da yeni yılda yüzde 6.3 ile 8.3 arasında artış olacak .",artış,olacak,27,28,4,9,0.9973850846290588
Onların da şikâyetleri var dı :,şikâyetleri,var,3,4,3,0,0.9998655319213867
"Hüseyin , Mirsad , Mehmet ve Asım ekibi Avrupa'nın en iyi savunma ekibi .",ekibi,ekibi,8,8,11,3,0.8339232206344604
"Dokuz kişilik sevk mahkumları içinde , üç kişi defalarca sevk geçirmiş olduğu için , kaza cezaevlerinin zorluğunu iyi biliyordu biliyor du .",kişi,biliyor,8,21,4,3,0.09022034704685211
"Özellikle eğitimsiz , kendi çıkarını bilmeyen ya da bilir gözükmeyen bu durağan toplumu harekete geçirmek için şiddetli bir deprem gerekecekti gerekecek ti .",deprem,gerekecek,20,22,2,2,0.44683921337127686
Çocuk kararlıydı kararlı ydı .,Çocuk,kararlı,1,2,4,9,0.9993849992752075
Bu söz annem için o kadar önemli olmuştu olmuş tu ki bana her zaman bunu söylerdi söyler di .,söz,söyler,2,17,5,6,0.39138105511665344
"Deniz Baykal , Cahit Kayra , Mustafa Ok , Erol Çevikçe ayrıca Doçent Özsan Uluatam ve Üstün Üstün var .",Deniz,var,1,23,7,7,0.08329856395721436
"Demek , geçmişin , geçmişimizin de kaybolmuş bir sınırı var .",sınırı,var,10,11,4,9,0.997654139995575
"Gençlerin yalnız başlarına , sağda solda yokedilip gitmesinden korkuyorum .",Gençlerin,korkuyorum,1,10,4,3,0.45078903436660767
"Çağdaş müşrikler , seleflerini geçtiler bu yarışta .",müşrikler,geçtiler,2,6,3,9,0.3565337359905243
Ben yaptırdığım çalışmalarda her zaman için sizden daha fazlasını isteyeceğim .,Ben,isteyeceğim,1,10,2,11,0.4683525860309601
"Nüfuz kabiliyetleri varsa var sa çoktur çok tur , delicidir delici dir , derinliklere girebilir veya hafiftir hafif tir .",kabiliyetleri,çok,3,8,7,8,0.19178348779678345
"Bu yüzden , bizzat bu köprünün varlığı , iki kesim arasındaki arasında ki ayrımın bir tür tescili , uçurumun aşılmazlığının kanıtı yerine geçiyor .",varlığı,geçiyor,7,24,7,8,0.3290196657180786
"Genç , diri vücudu meleklerle yarışıyor gibi ...",vücudu,yarışıyor,4,7,5,11,0.6427533030509949
"Hiç harika bir öykünün sonuna gelip de birlikte onca serüven yaşadığı , sevip hayran olduğu , adlarına kaygılanıp umutlandığı kahramanlara veda etmek zorunda kaldığı ve onlarsız hayat kendisine boş ve anlamsız göründüğü için açıkça ya da gizlice acı gözyaşları dökmemiş biri ...",hayat,biri,31,46,5,11,0.3238432705402374
Genç Göktürkler kesin karar vermişlerdi vermişler di .,Göktürkler,karar,2,4,5,9,0.4592881202697754
"Hareketin nasıl geliştiğini , Türk toplumunu nasıl damgaladığı ya da damgalayamadığını , Türk toplumundaki toplumunda ki faşizme geçişi , Kemalist hareketle Moskova'daki Moskova'da ki Marksist hareket arasındaki arasında ki girintileri çıkıntıları anlatmak için kitabı gerçek , doğru kişilerle kurmak bana daha güzel geldi .",Hareketin,geldi,1,54,0,10,0.05487583205103874
Annem akşam işten geldi .,Annem,geldi,1,4,4,0,0.6459420919418335
"Dedem , Atatürk döneminde yaşamış .",Dedem,yaşamış,1,5,5,6,0.5173810720443726
Bazı Sovyet filmleri de Amerikan filmleri düzeyinde .,filmleri,düzeyinde,3,7,8,11,0.29838743805885315
Bütün işlerin başlangıcı çetin mücadelelerle doludur dolu dur .,başlangıcı,dolu,3,8,5,11,0.24770739674568176
Alanları çok farklı .,Alanları,farklı,1,3,4,0,0.7111573219299316
"Babamın dilinden düşürmediği deyimlerden birisi de "" İyi olmak parayla değildir .",Babamın,birisi,1,7,5,11,0.2747788727283478
Verdiği konserlerde insanlara verdiği pozitif enerji sahneyi kullanma sanatı ve yaşattığı anbians bugünkü bugün kü sanatçılar tarafından örnek alınmaktadır .,enerji,örnek,6,20,9,6,0.13589949905872345
"* Şair "" eskiyen masallar "" sözü ile ne anlatmak istiyor ? Defterinize yazınız .",Şair,istiyor,2,11,5,11,0.45677801966667175
Onlar sizden biri değil .,Onlar,biri,1,3,5,11,0.5469173789024353
"Zaman zaman kavgaya dönüşen tartışma , pasaportum üzerineydi üzerine ydi .",tartışma,üzerine,5,10,8,1,0.611752450466156
Artık üniversitede bana kadro bulunup bulunmadığını bile takip etmiyordum etmiyor dum .,kadro,takip,4,8,0,1,0.2214086502790451
Beyaz bir ay doğuyor fıstıkların arkasından,ay,doğuyor,3,4,3,0,0.9999030828475952
"Salih Işık , Kayseri Sarız ilçesi Yalak köyündendi köyünden di .",Salih,köyünden,1,9,0,3,0.17875611782073975
Çevresi genişti geniş ti anlaşılan .,Çevresi,geniş,1,2,4,9,0.9999634027481079
Ada bu yıl 8 .,Ada,8,1,4,9,2,0.43314865231513977
"O zirveye ulaştıktan sonra , dağın başka hiçbir yeri artık onları tatmin etmez .",yeri,tatmin,9,12,7,3,0.41430625319480896
Ben sanatçıyım sanatçı yım .,Ben,sanatçı,1,4,4,0,0.3629376292228699
"Sen çalışansın çalışan sın , "" dedi .",Sen,dedi,1,8,9,6,0.5135638117790222
"Okuma , bir isteğin , bir ihtiyacın karşılığı olmalıdır .",Okuma,olmalıdır,1,9,7,8,0.506401002407074
En az yarım saat uğraştıktan sonra hastane santrali açıldı .,santrali,açıldı,9,10,4,9,0.9989292025566101
"Bnet Genel Müdürü Hakan Akan da , "" Kısa vadede internet servis sağlayıcılığı alanının öncüsü olmayı , uzun vadede telekom liberalizasyonu sonrasında alternatif telekom operatörü olarak faaliyetlerimizi sürdürmeyi hedefliyoruz "" dedi .",Hakan,dedi,5,34,6,11,0.06602949649095535
Amcam ve iki hatam da bizde kalıyorlar .,Amcam,kalıyorlar,1,7,0,1,0.45351701974868774
""" Doyduğunuz yer "" ne oldu ?",yer,oldu,4,7,0,2,0.2954663932323456
Ayrıca Kaygun ile ilgili bir de söyleşi gerçekleştirilecek .,söyleşi,gerçekleştirilecek,8,9,4,9,0.9998500347137451
- Matematik öğretmeninin adı da Mustafa idi .,adı,Mustafa,4,6,6,10,0.8733677268028259
"Ben titriyor , için için ağlıyor ve hiçbir şey yapamamanın ezikliğini yaşıyordum yaşıyor dum .",Ben,titriyor,1,2,4,9,0.9999579191207886
"Yıllardır sol partilere oy veren Anadolu'daki Anadolu'da ki ve yurtdışındaki yurtdışında ki Aleviler , Cem Vakfı ve Ehlibeyt Vakfı dışında bir araya gelerek , 18 Nisan seçiminde birlikte hareket etme kararı aldı .",Aleviler,kararı,17,35,7,3,0.1463700830936432
Ne var ki kendisinden not almak son derece güçtü güç tü .,Ne,güç,1,9,8,1,0.2102413773536682
Oradaki Orada ki hayat içine işlemiş .,hayat,içine,4,5,4,9,0.9998570680618286
Bunun nedeni adaletsiz gelir dağılımı .,nedeni,dağılımı,2,5,5,11,0.7187564969062805
Balıkçı şaşırmış :,Balıkçı,şaşırmış,1,2,4,9,0.9998854398727417
""" SEKA korumaya alınmalı """,SEKA,korumaya,2,3,4,9,0.9999849796295166
Doğrusu numaram iyi tutmuştu tutmuş tu .,numaram,tutmuş,2,5,7,8,0.6096813678741455
Masmavi gözleri ve sapsarı saçları vardı var dı .,gözleri,var,3,9,0,1,0.17546534538269043
Ana görevi yürütmeyi atamak ve denetlemektir .,görevi,atamak,2,4,7,3,0.4176080524921417
"Fenerbahçe , Ümit Özat'tan sonra Siirtspor'lu Ceyhun'u da iki yıllığına renklerine bağladı .",Fenerbahçe,bağladı,1,19,5,11,0.3914155066013336
"Böylece başkaları yaptığında "" taraflı , şartlı "" demelerin önünü kendileri almış olacaklar .",kendileri,almış,12,13,3,0,0.9994107484817505
Kadın hızla uzaklaştı .,Kadın,uzaklaştı,1,3,4,0,0.6249849796295166
ABD'de tatil yapan Fransız futbolcu telefonlara çıkmıyor ve sürekli telefonunu kapalı tutuyor .,futbolcu,telefonlara,7,8,4,9,0.9998894929885864
Kesin olmamakla birlikte mahkeme heyetinin kararına zemin teşkil edecek olan ve Saadettin Bilgiç başkanlığında yazılan bilirkişi raporunun muhaliflerin görüşlerinin doğrultusunda olduğu öğrenildi .,raporunun,öğrenildi,17,22,9,6,0.2356719672679901
"Bizler , eşitliğe ve demokrasiye anlamlar yükledik , özünü yaşatamadık .",Bizler,anlamlar,1,6,0,11,0.23956477642059326
Cumhuriyet daha 1 yaşındayken yaşında yken böyle bir ikilemle karşılaşmıştı karşılaşmış tı .,Cumhuriyet,karşılaşmış,1,12,7,3,0.2814282774925232
"Bu merak , müsait şartlar bulsaydı bulsa ydı , pekâlâ araştırıcılığa ve yapıcılığa dönebilirdi dönebilir di .",merak,dönebilir,2,17,8,7,0.42386868596076965
Birden özgür günlerim geldi aklıma .,günlerim,geldi,3,4,4,9,0.998853325843811
"Michelangelo Buonarroti , 38 yaşında iken ünlü Musa heykelini yaptı .",Michelangelo,yaptı,1,13,1,4,0.26371750235557556
""" Karadeniz'de tarih öncesinden kalma antik kayık bulundu """,kayık,bulundu,9,10,4,9,0.9999606609344482
Latife bu isteğine olumlu yanıt alamadı .,Latife,alamadı,1,6,4,3,0.7058902382850647
Ancak girişin bankaların döviz hesaplarından olmadığı biliniyor .,girişin,biliniyor,2,7,4,0,0.2889457046985626
"Bir yığın meraklı ise ne siyah kırması iriyarı , orta yaşlı adama ne de sarışın fıstığa bakıyordu bakıyor du .",meraklı,bakıyor,3,20,7,3,0.4338544011116028
Guatemala'da iki kesim var .,kesim,var,5,6,4,9,0.9995744824409485
"Babası , dispansere kadar Ayşe'yi kucağında taşıdı .",Babası,taşıdı,1,11,7,3,0.43072056770324707
Ama şimdi fedakarlık sırası bende idi .,sırası,bende,4,5,4,9,0.9999856948852539
"Daha önce Ferrari'yle test sürüşleri yapan , hatta F1'e geçmesi bile gündeme gelen Rossi , bu defa Dünya Ralli Şampiyonası'nın Yeni Zelanda ayağında ortaya çıktı .",Rossi,ortaya,19,31,8,11,0.1980292797088623
"İşte bu yüzden , Mim Sadun Ne'nin Alaska doğumlu olmasına şaşmamak gerekir .",Mim,gerekir,5,14,4,3,0.206669881939888
"Programın yapımcısı Alfred Biolek , bir konserinde izlemişti izlemiş ti Barış Manço'yu ...",Alfred,izlemiş,3,9,0,9,0.1388842910528183
Kitapları onlara uzatıp vermenize gerek yok ; sadece onlara okumalarını söyleyin .,gerek,yok,5,6,4,9,0.9996448755264282
"New Orleans'ta caz , San Francisco'da hüzün vardı var dı ...",caz,var,5,13,5,8,0.15037435293197632
"Eden bulmuştur . "" Kitabı ters çevirdi , sonra da koltukta geriye doğru kaykıldı .",Eden,bulmuştur,1,2,4,9,0.9999949932098389
Ben bu haberi okuyunca mezun olmaktan ve askere gitmekten çok korkar oldum .,Ben,korkar,1,11,0,10,0.24329428374767303
"Bunu diyenler "" Anadolu çocukları "" .",diyenler,çocukları,2,5,7,3,0.6647316813468933
"Bu da , romanlarınıza akıcılık , kurgusal zenginlik sağlıyor .",Bu,sağlıyor,1,11,7,8,0.6273398399353027
"Bilhassa sanat eğitimi hem yeteneklerine uygundur uygun dur , hem gençlere yönelik çalışma fırsatı verir .",eğitimi,uygun,3,7,7,3,0.31145042181015015
"İstanbul , mevduat pastasından en büyük dilimi alan il olmaya devam ediyor .",İstanbul,devam,1,12,4,3,0.33668020367622375
Vatandaşlar seçmen bilgi kağıdını ve kimliklerini göstererek oylarını kullanacak .,Vatandaşlar,kullanacak,1,9,5,11,0.5321546196937561
"İnsanlar , hayvanlar ve bitkiler dostça yaşarlardı yaşarlar dı .",İnsanlar,yaşarlar,1,7,3,9,0.1725616604089737
- Genellikle çok düşük doz kullanımı veya uygunsuz ilaç kombinasyonları neden olur .,kullanımı,neden,6,11,7,8,0.3245161473751068
"Geriye birkaç paket çikolata , biraz harçlık ve biraz anı kalmıştı kalmış tı .",çikolata,kalmış,4,12,5,8,0.17666170001029968
Mitinglere katılımın savaşta ABD'nin yanında yer alan ülkelerde daha yoğun olması bekleniyor .,katılımın,bekleniyor,3,15,3,11,0.35316047072410583
"Bazıları , en yüksek tepelere tırmanan içerdekiler içerde kiler , birkaç bin oy uğruna , dini siyasete alet etmenin sıcak provalarını yaptılar .",Bazıları,yaptılar,1,24,5,6,0.43616196513175964
"Demirören , konuşmalarımıza kulak misafiri olmuş , hatta zaman zaman katılmıştır .",Demirören,kulak,1,5,4,3,0.2518945336341858
Annem beni okutmak için her türlü zorluğa göğüs geriyordu geriyor du .,Annem,göğüs,1,8,7,3,0.30205267667770386
"Aradığın sorunun bendeki bende ki cevabı , boyutlardır boyutlar dır .",cevabı,boyutlar,6,8,7,3,0.43644875288009644
Kalp masajı ilk 3 - 5 dakika içinde yapılmalıdır .,masajı,yapılmalıdır,2,9,3,11,0.7592410445213318
"Ama tembel kuş , aylak aylak dolaşırmış dolaşır mış .",kuş,dolaşır,3,7,6,11,0.42908719182014465
Biz oradayız orada yız .,Biz,orada,1,2,4,9,0.9996857643127441
"Osman Hamdi Bey , Sadrazam İbrahim Ethem Paşa'nın oğluydu oğlu ydu .",Osman,oğlu,1,11,0,1,0.1365256905555725
Bizler ne öğreniyorsak öğreniyor sak onlar sayesinde öğreniyoruz .,Bizler,öğreniyoruz,1,9,6,9,0.3961333930492401
Bunlarla birlikte cesur savaşçı Mars 29 Eylül'den itibaren burcunuza uzun süreliğine yerleşecek .,Mars,yerleşecek,5,15,8,11,0.6193016171455383
Kaza ya da yangın nedeniyle su almış olsa dahi batmamış olan teknede kalınarak yardım beklenmelidir .,yardım,beklenmelidir,15,16,3,0,0.9999794960021973
"Savcılık , soruşturma kapsamında , "" birden çok kez kamu kurumunu dolandırma ve sahte evrak tanzimi "" suçlarından tutuklanan ve SSK'dan malulen emekli olan Hasan Acar'ın , emeklilik işlemlerini de mercek altına aldı .",Savcılık,mercek,1,38,7,3,0.376995712518692
Bu kavgada yalnızca Muhammet Şerif amca kolundan yaralandı .,Muhammet,yaralandı,4,8,0,3,0.16600441932678223
Evleri bitmiş .,Evleri,bitmiş,1,2,4,9,0.997574508190155
Aradan birkaç gün geçti .,gün,geçti,3,4,4,9,0.9996154308319092
"İlk satırlar , başvurunun nedenini özetliyor :",satırlar,özetliyor,2,6,5,11,0.4494697153568268
"Ah'lara , vah'lara gerek yok .",gerek,yok,8,9,4,9,0.9997982382774353
Reklam sayesinde aslında hiç iyi bir özelliği olmayan bir ürün bile gayet rahat bir şekilde satılabilir .,ürün,satılabilir,10,16,5,9,0.39267662167549133
Söyledikerini kendisinin de duyduğunu bildirmek için eğildi .,kendisinin,eğildi,3,8,3,9,0.13912540674209595
Çünkü onu daima bir şeyler çok rahatsız ediyor ...,şeyler,rahatsız,5,7,5,9,0.7201608419418335
"Fokus grup yöntemi , bir grup insanla , araştırma konusu üzerinde yapılan bir toplantı şeklinde gerçekleştirilir .",yöntemi,gerçekleştirilir,4,17,5,6,0.38846445083618164
Tanımladığı her olgu onun kendisiyle olan yakınlığıdır yakınlığı dır .,olgu,yakınlığı,4,8,7,3,0.5213661193847656
"İçi , dışı bir harika ,",İçi,harika,1,5,0,9,0.4169546961784363
"Avrasya Maratonu , bugün İstanbul'da koşulacak .",Maratonu,koşulacak,2,8,1,10,0.6305103898048401
"Ertesi sabah gün doğmak üzereyken üzere yken , eşofmanlarımı giyip koşarak parka gittim .",gün,gittim,3,15,1,4,0.18699243664741516
Ertesi gün de uğramayınca komşum çat kapı geldi :,komşum,geldi,6,9,10,8,0.49894699454307556
"Bu belge alındıktan sonra , buluşun kullanım hakkı belirli bir süre için yalnızca buluşçuya aittir ait tir .",hakkı,ait,8,18,8,11,0.4820277690887451
Yaşam sizi büyümeye zorluyor .,Yaşam,zorluyor,1,4,7,3,0.5371856093406677
"Biz Fenerbahçeliler Türk ilinin erleriyiz erleri yiz . """,Fenerbahçeliler,erleri,2,5,6,1,0.3754008412361145
"Bu Avrupa ülkeleri , Amerikalılarınkine Amerikalıların kine de çok ama çok sahip çıkıyor ...",ülkeleri,sahip,3,14,7,3,0.5027758479118347
Altıncı gününü de bitiren eylemin bu ilgisizlik yüzünden daha ne kadar süreceği ise bilinmiyor .,eylemin,bilinmiyor,5,14,3,11,0.27947503328323364
"Oradaki Orada ki siyasi partilerin bir araya gelip konuşması da önemlidir önemli dir "" diye konuştu .",partilerin,konuştu,5,16,6,9,0.2140572965145111
"Annesi , babası da kalkmıştı kalkmış tı .",Annesi,kalkmış,1,6,1,8,0.3598507046699524
"Alex buraya tamamen güvenlik amacıyla getirilmedi "" diye konuştu .",Alex,konuştu,1,10,4,3,0.5282883644104004
Allah böyle istemiyor .,Allah,istemiyor,1,3,6,9,0.7741183638572693
"Satürn eklemlere , kemiklere dikkat edilmesini ister .",Satürn,ister,1,8,7,3,0.8043413162231445
- O İstanbullu .,O,İstanbullu,2,3,4,9,0.9998987913131714
"Jean Reno "" Wasabi "" de canlandırdığı rolü kendi kişiliğine ve fiziğine çok uygun buluyor",Jean,buluyor,1,17,4,3,0.10743342339992523
"Her şey demokrasiye benziyor , demokrasiyi andırıyor .",şey,benziyor,2,4,4,0,0.75084388256073
"Yanlış bir şey , uyumlu olmayan bir ifade , zamansız bir konuşma , bir anda insanların morallerini sıfıra indirebilir .",şey,indirebilir,3,20,0,10,0.1818232238292694
"Bunu , Atatürk'ün sarı saçlarından , mavi gözlerinden söz ederek değil , - onun da ifade ettiği gibi - duygu ve düşüncelerini anlamanıza , hissetmenize yol göstererek yapabileceğimi düşünüyorum .",onun,düşünüyorum,16,32,1,10,0.0725669264793396
Resime karşı ilgim var .,ilgim,var,4,5,4,9,0.9982832670211792
"Eller , gönüller birleşir ,",Eller,birleşir,1,4,3,9,0.337969034910202
